"year","cpi_all","cpi_food","cpi_housing","cpi_rent","cpi_textbooks"
"1985","107.6","105.6","116.7","111.8",
"1986","109.6","109.1","123.3","118.3",
"1987","113.6","113.5","131.6","123.1",
"1988","118.3","118.2","140.0","127.8",
"1989","124.0","124.9","149.9","132.8",
"1990","130.7","132.1","159.8","138.4",
"1991","136.2","136.8","169.8","143.3",
"1992","140.3","138.7","181.0","146.9",
"1993","144.5","141.6","189.0","150.3",
"1994","148.2","144.9","197.1","154.0",
"1995","152.4","148.9","205.5","157.8",
"1996","156.9","153.7","213.9","162.0",
"1997","160.5","157.7","223.9","166.7",
"1998","163.0","161.1","233.5","172.1",
"1999","166.6","164.6","243.6","177.5",
"2000","172.2","168.4","253.8","183.9",
"2001","177.1","173.6","265.4","192.1",
"2002","179.9","176.8","280.2","199.7","104.2"
"2003","184.0","180.5","296.8","205.5","111.0"
"2004","188.9","186.6","315.4","211.0","115.5"
"2005","195.3","191.2","335.1","217.3","120.3"
"2006","201.6","195.7","352.7","225.1","128.0"
"2007","207.342","203.300","371.121","234.679","138.580"
"2008","215.303","214.225","388.834","243.271","148.995"
"2009","214.537","218.249","408.388","248.812","160.195"
"2010","218.056","219.984","427.075","249.385","168.777"
"2011","224.939","227.866","444.473","253.638","177.345"
"2012","229.594","233.670","462.030","260.367","189.644"
"2013","232.957","236.966","479.853","267.725","201.704"
"2014","236.736","242.449","494.574","276.162","209.591"
"2015","237.017","246.804","508.371","286.032","221.992"
