,,25th percentile,Median,75th percentile
18-23,1990,15941.23948,22505.27927,29069.31905
18-23,1991,16197.35683,22496.32893,29695.15419
18-23,1992,17471.13329,21155.7953,28827.36992
18-23,1993,15606.25606,21170.22561,28837.64706
18-23,1994,16539.81107,21501.75439,28117.67881
18-23,1995,16083.9895,20909.18635,27342.78215
18-23,1996,15622.68961,19528.36201,26558.57234
18-23,1997,15272.27414,19853.95639,25962.86604
18-23,1998,15672.64196,21895.3816,28151.20491
18-23,1999,17067.17887,22069.62785,30014.69388
18-23,2000,14274.46783,22205.99303,28469.22184
18-23,2001,16608.92151,21868.41333,27681.53586
18-23,2002,16350.4169,22672.5781,29501.60222
18-23,2003,17318.26087,23979.13043,30480.13913
18-23,2004,16869.03123,23357.12017,29845.20911
18-23,2005,16316.23144,21336.61034,27612.08397
18-23,2006,15320,21885.71429,27965.07937
18-23,2007,16550.81942,21279.62497,28372.83329
18-23,2008,15938.83968,22769.77097,28462.21372
18-23,2009,17138.30248,22851.06998,29477.88027
18-23,2010,16861.72359,22482.29813,28102.87266
18-23,2011,14493.24484,20399.51454,25063.50611
18-23,2012,16014.35578,21352.47437,26690.59296
18-23,2013,15783.17028,21044.22705,26305.28381
18-23,2014,15531.22466,20708.29954,26920.7894
18-23,2015,15512.81132,20683.74842,25854.68553
18-23,2016,15319.55318,22468.678,29617.80281
18-23,2017,17000,20000,28000
24-34,1990,22505.27927,29256.86305,38258.97475
24-34,1991,21596.47577,28795.30103,37793.8326
24-34,1992,21748.06671,29700.92659,38436.49323
24-34,1993,21875.89979,29007.28028,40203.07266
24-34,1994,20840.16194,29771.65992,38041.56545
24-34,1995,20909.18635,28146.98163,38601.5748
24-34,1996,19997.0427,26558.57234,35932.18611
24-34,1997,21207.07988,27490.09346,36653.45794
24-34,1998,21654.77301,28572.26994,37595.09202
24-34,1999,21333.97359,29426.17047,38695.41417
24-34,2000,20782.53194,28469.22184,37009.98839
24-34,2001,20761.15189,29065.61265,38754.1502
24-34,2002,21868.6826,29975.76431,39513.5075
24-34,2003,22167.37391,30640,39965.21739
24-34,2004,20761.8846,29845.20911,38928.53362
24-34,2005,21336.61034,29369.21659,37652.84178
24-34,2006,20669.84127,29180.95238,36476.19048
24-34,2007,20097.42358,28372.83329,37830.44439
24-34,2008,20492.79388,27323.72517,35862.38928
24-34,2009,20565.96298,28563.83747,37316.93983
24-34,2010,20234.06831,28102.87266,37410.54408
24-34,2011,20486.69195,27242.94142,37050.40033
24-34,2012,19857.80116,27224.40482,36299.20643
24-34,2013,18939.80434,26305.28381,36827.39733
24-34,2014,20708.29954,25885.37443,36239.5242
24-34,2015,20683.74842,25854.68553,35162.37232
24-34,2016,20426.07091,27575.19572,35745.62409
24-34,2017,20000,28000,37500
